,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Aaron Rodgers*+\RodgAa00,GNB,QB,28,15,15,343,502,4643,45,6,60,257,4.28,3,0,0,0,,0,5,,3,,,399,397.4,409.4,403.4,171,1,1
2,Drew Brees*\BreeDr00,NOR,QB,32,16,16,468,657,5476,46,14,21,86,4.10,1,0,0,0,,0,1,,1,,3,396,395.6,412.6,409.6,167,2,2
3,Ray Rice*\RiceRa00,BAL,RB,24,16,16,1,1,1,1,0,291,1364,4.69,12,104,76,704,9.26,3,2,,15,,,301,376.8,382.8,338.8,152,1,3
4,Calvin Johnson*+\JohnCa00,DET,WR,26,16,16,0,0,0,0,0,1,11,11.00,0,158,96,1681,17.51,16,1,,16,,,267,361.2,364.2,313.2,151,1,4
5,Cam Newton*\NewtCa00,CAR,QB,22,16,16,310,517,4051,21,17,126,706,5.60,14,1,1,27,27.00,0,5,,14,,2,375,374.3,397.3,390.8,147,3,5
6,Rob Gronkowski*+\GronRo00,NWE,TE,22,16,16,0,0,0,0,0,1,2,2.00,1,124,90,1327,14.74,17,0,,18,,,241,330.9,333.9,285.9,143,1,6
7,Tom Brady*\BradTo00,NWE,QB,34,16,16,401,611,5235,39,12,43,109,2.53,3,0,0,0,,0,6,,3,,,370,370.3,388.3,382.3,142,4,7
8,LeSean McCoy*+\McCoLe01,PHI,RB,23,15,15,0,0,0,0,0,273,1309,4.79,17,69,48,315,6.56,3,1,,20,,,282,330.4,336.4,306.4,134,2,8
9,Matthew Stafford\StafMa00,DET,QB,23,16,16,421,663,5038,41,16,22,78,3.55,0,0,0,0,,0,5,,0,,2,347,345.3,364.3,361.3,119,5,9
10,Maurice Jones-Drew*+\DrewMa00,JAX,RB,26,16,16,0,0,0,0,0,343,1606,4.68,8,64,43,374,8.70,3,6,,11,,,264,307.0,313.0,285.5,115,3,10
11,Arian Foster*\FostAr00,HOU,RB,25,13,13,0,0,0,0,0,278,1224,4.40,10,72,53,617,11.64,2,6,,12,,,256,309.1,315.1,282.6,108,4,11
12,Jordy Nelson\NelsJo00,GNB,WR,26,16,9,0,0,0,0,0,0,0,,0,96,68,1263,18.57,15,0,,15,,,216,284.3,287.3,250.3,100,2,12
13,Jimmy Graham*\GrahJi00,NOR,TE,25,16,11,0,0,0,0,0,0,0,,0,149,99,1310,13.23,11,1,,11,,,197,296.0,299.0,246.5,99,2,13
14,Wes Welker*+\WelkWe00,NWE,WR,30,16,15,0,0,0,0,0,4,30,7.50,0,173,122,1569,12.86,9,1,,9,,,214,335.9,338.9,274.9,98,3,14
15,Victor Cruz\CruzVi00,NYG,WR,25,16,7,0,0,0,0,0,1,3,3.00,0,131,82,1536,18.73,9,1,,9,,,208,289.9,292.9,248.9,92,4,15
16,Larry Fitzgerald*\FitzLa00,ARI,WR,28,16,16,0,0,0,0,0,0,0,,0,154,80,1411,17.64,8,0,,8,,,189,269.1,272.1,229.1,73,5,16
17,Steve Smith*\SmitSt01,CAR,WR,32,16,16,0,0,0,0,0,6,56,9.33,0,129,79,1394,17.65,7,3,,7,1,,189,268.0,271.0,228.5,73,6,17
18,Marshawn Lynch*\LyncMa00,SEA,RB,25,15,15,0,2,0,0,0,285,1204,4.22,12,41,28,212,7.57,1,3,,13,,,220,247.6,253.6,233.6,71,5,18
